hero,connection
"GRAY, CHARLES","ATTRACTIVE LAD/AUNDR,CARLISLE, JENNA,CARNIVORE/COUNT ANDR,MOONSTONE II/KARLA S,MOONSTONE/LLOYD BLOC,JARVIS, EDWIN ,HOGAN, HAROLD J. HAP,IRON MAN/TONY STARK ,RIVERA, DR. JASON,BEACH, SPIDER,DONLEAVY, HANNAH,HOGAN, VIRGINIA PEPP,FIN FANG FOOM/MIDGAR,ROCKETLAUNCHER/,ARIES II/GROVER RAYM,BEACH, GINGER,YUAN, ANNIE,COUNT NEFARIA, LUCHI,HAWK"
"GRAY, SGT.","TERMINUS,LUMPKIN, WILHEMINA B,SHINSKI, PROFESSOR W,INVISIBLE WOMAN/SUE ,RICHARDS, FRANKLIN B,THING/BENJAMIN J. GR,MOLE MAN/HARVEY RUPE,HUMAN TORCH/JOHNNY S,MASTERS, ALICIA REIS,MR. FANTASTIC/REED R,SILVER SURFER/NORRIN,CLAY, GORDON,AGUIRRE, ISOBEL,REISZ, RAY"
"GREEN, ARNIE","WONG,KHAT,TOPAZ,DR. STRANGE/STEPHEN ,WOLFE, SARA"
GRENDEL'S MOTHER,"CAPTAIN MARVEL III/G,MAHA YOGI,BOGGS, MORDECAI P.,MOONDRAGON/HEATHER D,JONES, MARLO CHANDLE,JONES, RICHARD MILHO"
"GREY, JEAN | MUTANT","BLOODSTORM | MUTANT ,BETA RAY BILL | MUTA,GAMBIT | MUTANT X-VE,ROGUE | MUTANT X-VER,ELEKTRA | MUTANT X-V,MAN-SPIDER | MUTANT ,NAMORITA | MUTANT X-,SABRETOOTH | MUTANT ,POWER MAN II | MUTAN,STRONG GUY | MUTANT ,ABSORBING MAN | MUTA,GARGOYLE | MUTANT X-,PROFESSOR X | MUTANT,HAVOK/ALEX SUMMERS ,DR. DOOM | MUTANT X-,DEVIL DINOSAUR | MUT,MAGNETO | MUTANT X-V,BEYONDER | MUTANT X-,BROTHER VOODOO | MUT,HUDSON, JAMES | MUTA,ICE-MAN | MUTANT X-V,VOLSTAGG | MUTANT X-,CAPTAIN AMERICA | MU,DRACULA | MUTANT X-V,X-MAN | MUTANT X-VER,VALKYRIE II | MUTANT,DRAX | MUTANT X-VERS,WILD CHILD | MUTANT ,DR. STRANGE | MUTANT,YELLOWJACKET II | MU,QUICKSILVER | MUTANT,POLARIS | MUTANT X-V,HULK | MUTANT X-VERS,FANDRAL | MUTANT X-V,NOVA | MUTANT X-VERS,BRUTE | MUTANT X-VER,IRON FIST | MUTANT X,MR. SINISTER | MUTAN,RAVEN | MUTANT X-VER,SUMMERS, SCOTT III |,DAREDEVIL | MUTANT X,BLACK PANTHER | MUTA,FIN FANG FOOM | MUTA,ABOMINATION | MUTANT,WOLVERINE | MUTANT X,YASHIDA, MARIKO | MU,DR. OCTOPUS | MUTANT,STINGRAY | MUTANT X-,THOR | MUTANT X-VERS,NIGHTCRAWLER | MUTAN,SUB-MARINER | MUTANT,RICHARDS, REED | MUT,MOON KNIGHT | MUTANT,HOGUN | MUTANT X-VER"
"GRIMM, SUE STORM EAR","GRIMM, BEN | EARTH-A,HUMAN TORCH/JOHNNY S,CRYSTAL [INHUMAN],INVISIBLE WOMAN/SUE ,VALERIA,PHINEAS,LOCKJAW [INHUMAN],THING/BENJAMIN J. GR,MR. FANTASTIC/REED R"
GRIZZLY/MAXWELL MARK,"SPIDER-MAN/PETER PAR,KRAVEN THE HUNTER II,GIBBON/MARTIN BLANK,JAMESON, J. JONAH,ROBERTSON, AMANDA,ROBERTSON, RANDY,CHAMELEON/DMITRI SME,KANGAROO II/,ROBERTSON, JOE,JACK O'LANTERN II/MA,GARRISON, DR.,WATSON-PARKER, MARY ,RANSOME, DR. SUSAN,CALYPSO,MAGUIRE,ROBERTSON, MARTHA,TINKERER,MERCADO, JOY,PROFESSOR ANGST/DR. ,GREEN GOBLIN/NORMAN ,LEEDS, BETTY BRANT,SIR,WATSON, ANNA,THOMPSON, EUGENE FLA,KAFKA, DR. ASHLEY,WHITE RABBIT"
GROTESK,"BLACK WIDOW/NATASHA ,QUASAR III/WENDELL V,UATU,USAGENT/CAPTAIN JOHN,CYCLOPS/SCOTT SUMMER,ROSSI, COL. MICHAEL ,ANGEL/WARREN KENNETH,MOLE MAN/HARVEY RUPE,BELLAM,IRON MAN/TONY STARK ,BURKE, THERESA TRACY,WONDER MAN/SIMON WIL,RAGE/ELVIN DARYL HAL,HAWK,TYRANNUS,KALA,SHE-HULK/JENNIFER WA,CHANGELING"
GROUNDHOG/SEAN BENAR,"RHINO,SASQUATCH/WALTER LAN"
GROVEL,"STORM/ORORO MUNROE S,SPIDER-MAN/PETER PAR,GYRICH, HENRY PETER,MAGNETO/MAGNUS/ERIC ,JAMESON, J. JONAH,GAMBIT/REMY LEBEAU ,CALLISTO,MAGGOTT/JAPHETH,YIN, ANGELA,CYCLOPS/SCOTT SUMMER,WOLVERINE/LOGAN ,MASTER MOLD II,ANGEL/WARREN KENNETH,PSYLOCKE/ELISABETH B,MEANY,MARROW/SARAH ,NANNY,CANNONBALL II/SAM GU,ROGUE /,ERIC THE RED II,BEAST/HENRY &HANK& P,JOSEPH,SPAT,MARVEL GIRL/JEAN GRE,LANDSCAPE/BRETT,TILBY, TRISH/PATRICI"
"GROVES, GEN. MCALLIS","FURY, COL. NICHOLAS ,CAPTAIN AMERICA,DUGAN, TIMOTHY ALOYI,CARTER, SHARON,HATE-MONGER/ADOLF HI,BILLUPS, AGENT,FALCON/SAM WILSON,KEMEL, MEHMET,BRANSON"
"GRUNCH, ALESTAIRE FI","BLIND AL/ALTHEA,WOLVERINE SKRULL,PATCH II,SHADOWCAT/KATHERINE ,DEADPOOL/JACK/WADE W,BRUKNER, ILANEY,WILSON, MERCEDES,BULLSEYE II/BENJAMIN,MONTGOMERY,DR. BONG,BLACK CRANE/"
GUARDIAN III,"BALDWIN, JUSTIN"
GUARDIAN | MUTANT X-,"BLOODSTORM | MUTANT ,PUCK | MUTANT X-VERS,FALLEN | MUTANT X-VE,ICE-MAN | MUTANT X-V,SASQUATCH | MUTANT X,WOLVERINE | MUTANT X,SABRETOOTH | MUTANT ,SHAMAN | MUTANT X-VE,BRUTE | MUTANT X-VER,NORTHSTAR | MUTANT X"
GUILOTINE,"HOBBS, DET.,DUGAN, TIMOTHY ALOYI,TAKIMOTO, RON,SALTZ/,NETWORK NINA,JONES, GABE,PIERCE, ALEXANDER GO,WOLVERINE/LOGAN ,BARON STRUCKER/WOLFG,DAKINI,ROMMEL, EDWIN ROMULU"
GULLIN,"N'DELE,BLACK WIDOW/NATASHA ,JUSTICE II/VANCE AST,USAGENT/CAPTAIN JOHN,FIRESTAR/ANGELICA JO,SANDMAN/WILLIAM BAKE,DEMOLITION MAN/DENNI,SERSI/SYLVIA,JARVIS, EDWIN ,JONES, RICHARD MILHO,HERCULES [GREEK GOD],IRON MAN/TONY STARK ,MOONDRAGON/HEATHER D,SWORDSMAN III/PHILIP,MAGDALENE/MARISSA DA,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,MACHINE MAN/X-51,MUTAURUS,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR,BLACK PANTHER/T'CHAL,MIDGARD SERPENT,VISION ,ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK,SUB-MARINER/NAMOR MA,FALCON/SAM WILSON,DARKHAWK/CHRIS POWEL,MOON KNIGHT/MARC SPE,LE FEY, MORGAN,MCLAREN, MEGAN,BEAST/HENRY &HANK& P,SPIDER-WOMAN II/JULI,RAGE/ELVIN DARYL HAL,LUNA/LUNA MAXIMOFF [,STINGRAY/DR. WALTER ,BINARY/CAROL DANVERS,SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V"
GUNSHIP/CARY ROUNTRE,"LOCOMOTIVE BREATH/LA,RHODES, MR."
"GUNTLY, DAVID","ACHILLES II/HELMUT,HULK/DR. ROBERT BRUC,BANNER, BETTY ROSS T"
HAFNIUM,"JUSTICE II/VANCE AST,ERBIUM,INDIUM,GORGON [INHUMAN],BARIUM,BEETLE/ABNER RONALD ,WASP/JANET VAN DYNE ,CRIMSON COWL II/,PLUTONIUM,CADMIUM,POWER MAN/ERIK JOSTE,SCARLET WITCH/WANDA ,CARBON,IRON FIST/DANIEL RAN,IRON,CITIZEN V II/HELMUT ,CALIFORNIUM,COBALT,BERYLLIUM,KARNAK [INHUMAN],SPIDER-MAN/PETER PAR,BLACK BOLT/BLACKANTO,KHANDRUVITCH, DR. VA,MOONSTONE II/KARLA S,SODIUM,FALCON/SAM WILSON,SCREAMING MIMI/MELIS,ZIRCONIUM,DARKHAWK/CHRIS POWEL,CAGE, LUKE/CARL LUCA,DAREDEVIL/MATT MURDO,BRIDGE, GEORGE WASHI,THALLIUM,WONDER MAN/SIMON WIL,BEAST/HENRY &HANK& P,FIXER II/PAUL NORBER,ARSENIC,CITIZEN V III/DALLAS,DISPROSIUM"
"HAGGERT, BOB","GYRICH, HENRY PETER,GOLDFIRE/AMEIKO SABU,IRON CROSS/HELMUT GR,BEETLE/ABNER RONALD ,SANDMAN/WILLIAM BAKE,CHARCOAL/CHARLIE BUR,NOMAD III/JACK MONRO,CRIPPLER/KARL STRIKL,MOONSTONE II/KARLA S,SCREAMING MIMI/MELIS,JONES, RICHARD MILHO,POWER MAN/ERIK JOSTE,CHEN,DYNA-MITE/ROGER AUBR,MAN-KILLER/KATRINA L,STERMAN, ANDREA ANDI,ISAAC,TOPSPIN/DARREN MITCH,FIXER II/PAUL NORBER,MENTOR/ALARS [ETERNA,SILVER SCORPION/ELIS,HAWK,CITIZEN V III/DALLAS"
HAIRBAG/SUGGS,"ZERO,WANG, VICTORIA VICKY,CYCLOPS/SCOTT SUMMER,WILDSIDE,HAVOK/ALEX SUMMERS ,COOPER, DR. VALERIE,SLAB/KRIS ANDERSON,TEMPO,MACTAGGERT, MOIRA KI,STRONG GUY/GUIDO CAR,WOLFSBANE/RAHNE SINC,QUICKSILVER/PIETRO M,CANNONBALL II/SAM GU,MR. SINISTER/NATHAN ,MULTIPLE MAN/JAMES A,FOREARM,POLARIS/LORNA DANE,REAPER II,RUCKUS,STROBE/,PROFESSOR X/CHARLES ,MALICE IV,STRYFE"
"HALDEMAN, CALVIN","CAPTAIN AMERICA,JARVIS, EDWIN"
"HALE, JONAS","GHOST,PEMBROKE,GAMELIN, JOHN T J.T.,FIRESTAR/ANGELICA JO,BOOMERANG/FRED MYERS,SUNTURION/ARTHUR DEA,NAMORITA/NITA PRENTI,JARVIS, EDWIN ,WHIPLASH/MARK SCARLO,HOGAN, HAROLD J. HAP,NOVA/RICHARD RIDER,STARK, MORGAN,IRON MAN/TONY STARK ,HOGAN, VIRGINIA PEPP,RHINO,ULTRON,SWANN, DR. EVAN,ANDERSON, CHET,STARK, HOWARD,SPEEDBALL/ROBBIE BAL,BAKER, ANNE-MARIE,SPIDER-MAN/PETER PAR,BLACK PANTHER/T'CHAL,SPYMASTER/JAKE JORDA,JAMESON, J. JONAH,NIGHT THRASHER/DUANE,SILVER,SILHOUETTE,HAMMER, JUSTIN,WATSON-PARKER, MARY ,WHIZZER III/JAMES SA,CONSTRICTOR/FRANK PA,ANDERSON, NICKY,DRAKE, CARLTON,AURIC/,HAWK,HYDROMAN/MORRIE BENC,STILETTO,SPHINX,KINGPIN/WILSON FISK"
"HAMILTON, MICKY","ANDREWS, DARYL TROOP,TOMBSTONE/LONNIE THO,LUCAS, JAMES JR.,KICKBACK/RICHARD,BERNSTEIN, DR. NOAH,ANDERS, JOSHUA RICHI,IRON MAN/TONY STARK ,CAGE, LUKE/CARL LUCA,MEDINA, ANALISA MARI,RAZOR/,HARDCORE/,POWER MAN III/STEELE,PUNISHER II/FRANK CA,NORTH, DAKOTA"
HAMMER II/,"KNIGHT, MISTY,PAGE, KAREN,NELSON, FRANKLIN FOG,SHARPE, ROSALINDE,DAREDEVIL/MATT MURDO,MONTANA,MISTER HYDE/CALVIN Z"
HAMMER IV/,"IVANOVA, ELENA,HUDSON, HEATHER,OMEGA RED/ARKADY ROS,PUSHKIN, IVAN,SICKLE II/,MAVERICK/CHRISTOPHER,BOLT II/CHRIS BRADLE,PUCK/EUGENE MILTON J,FERGUSON, ISABEL"
HAMMER/LEROY JACKSON,"SPIDER-WOMAN/JESSICA,SPIDER-MAN/PETER PAR,ANGAR THE SCREAMER/D,ANVIL/JOHNNY ANVIL,ARMBRUSTER, COLONEL ,WOLVERINE/LOGAN ,SCOURGE,HULK/DR. ROBERT BRUC"
HANGMAN,"BROTHERS GRIMM,SPIDER-WOMAN/JESSICA,TIGRA/GREER NELSON,POLTERGEIST/MICKEY S,NEKRA/ADRIENNE HATRO,DADDY LONGLEGS/RAMSE,HUNT, JERRY,COWEN, BUCK,MCCABE, LINDSAY,LE FEY, MORGAN,TICKTOCK,COWEN, ELAINE,BLACK GOLIATH/DR. WI,RUSSELL, LISSA,GYPSY MOTH,WEREWOLF BY NIGHT/JA,MAGNUS"
HANRANSHA/ASAHI,"SHATTERSTAR II/GAVEE,NEUROTAP/MICHELLE BA,CANNONBALL II/SAM GU,RICTOR/JULIO ESTEBAN"
HARDBALL,"EARTHQUAKE,CAPTAIN MARVEL II/MO,VISION ,SUPREMOR,ULTIMUS,THUNDERSTRIKE/ERIC K,KORATH THE PURSUER,HUSSAR,SMASHER IV,ASTRA,LIVING LIGHTNING/MIG,TITAN,RONAN THE ACCUSER [K,WONDER MAN/SIMON WIL,SHATTERAX,LILANDRA NERAMANI [S,ARAKI II,STARFOX/EROS"
HARDCORE/,"USAGENT/CAPTAIN JOHN,LUCAS, JAMES JR.,NITRO/ROBERT L. HUNT,HOGARTH, JERYN,BERNSTEIN, DR. NOAH,PACE, MICHAEL,ANDERS, JOSHUA RICHI,IRON MAN/TONY STARK ,CAGE, LUKE/CARL LUCA,MEDINA, ANALISA MARI,HAMILTON, MICKY,RHINO,POWER MAN III/STEELE,NORTH, DAKOTA,WONDER MAN/SIMON WIL,HULK/DR. ROBERT BRUC,ANGELOPOULOS, ANGEL"
"HARDY, MORGAN MACNEI","IRON MAN/TONY STARK ,CAPTAIN AMERICA,SPIDER-WOMAN/JESSICA,MCDOWELL, SCOTTY"
"HARKER, QUINCY","BLADE,VAN HELSING, RACHEL,DR. SUN,DRUMM, JERICHO,DRAKE, FRANKLIN,TOPAZ,LILITH/ANGEL O'HARA/,DRACULA/VLAD TEPES,KING, HANNIBAL/HENRY,SATAN/MARDU KURIOS,WEREWOLF BY NIGHT/JA"
HARMONY,"MISS SACCHARINE,KANE, SUGAR,ICEMAN/ROBERT BOBBY ,CYCLOPS II,WOLVERINE/LOGAN ,ANGEL/WARREN KENNETH,MISTER CLEAN"
HARNESS/ERIKA BENSON,"FURMINTZ, HARMON,JUSTICE II/VANCE AST,CHORD, ANDREW,CARGIL/JOANNA CARGIL,FIRESTAR/ANGELICA JO,RED GUARDIAN V,COPYCAT/VANESSA,SHADOW KING/AMAHL FA,PIECEMEAL/GILBERT BE,CYCLOPS/SCOTT SUMMER,NAMORITA/NITA PRENTI,FERAL/MARIA CALLASAN,NOVA/RICHARD RIDER,WIZ KID/TAKESHI MATS,MACTAGGERT, MOIRA KI,PROTEUS II,MADDICKS, ARTHUR ART,CANNONBALL II/SAM GU,ROSEN, WALTER,CAPTAIN BRITAIN/BRIA,GIDEON,TOAD/MORTIMER TOYNBE,SPEEDBALL/ROBBIE BAL,STINGER III/,SHATTERSTAR II/GAVEE,THUNDERBIRD II/JAMES,CAPTAIN AMERICA,SUMMERS, NATHAN CHRI,NIGHT THRASHER/DUANE,SILHOUETTE,SIRYN/THERESA ROURKE,ICEMAN/ROBERT BOBBY ,ANGEL/WARREN KENNETH,BOOMER/TABITHA SMITH,LEGION II/DAVID HALL,POLARIS/LORNA DANE,MULTIPLE MAN/JAMES A,LEECH,TOWER,BEAST/HENRY &HANK& P,MARVEL GIRL/JEAN GRE"
"HARRIGAN, CHESTER CH","IRON MAN/TONY STARK ,SKULLCRASHER/,IRON MAN IV/JAMES R."
"HARRIS, BERNARD","NELSON, FRANKLIN FOG,PAGE, KAREN,CAT MAN/HORGAN,APE MAN/GORDON MONK ,DAREDEVIL/MATT MURDO,SMASHER V,BIRD MAN/HENRY HAWK,GLENN, HEATHER"
"HARRIS, EDDIE","JACKSON, STEVE,JONES, DANIEL DANNY,SPIDER-MAN/PETER PAR,JONES, MAGGIE,NORTHSTAR/JEAN-PAUL ,JOCASTA,QUINN, PAMELA,JONES, LORRAINE LORR,SANDMAN/WILLIAM BAKE,STARSHINE II/BRANDY ,INVISIBLE WOMAN/SUE ,GARVIN, GEARS,JONES, TAMMY ANNE,CAGE, LUKE/CARL LUCA,BENJAMIN, BYRON,TORPEDO III/BROCK JO,CLARK, JOHN,IRON FIST/DANIEL RAN,NIGHTSHADE/TILDA,MASTERS, ALICIA REIS,SPAULDING, PETER,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,BARON BRIMSTONE/,ROYCE, JENNIE,MACHINE MAN/X-51"
"HARRIS, MONROE","BAZIN, BRODERICK RIC,POWELL, GRACE,SAVAGE STEEL/HARRY L,TOMBSTONE/LONNIE THO,SAINT, JOHNNY,BAZIN, PHILLIPPE,POWELL, JASON,BAZIN, ALLEGRA,POWELL, JONATHAN,POWELL, OFFICER MIKE,DARKHAWK/CHRIS POWEL"
HARVEST/CHI LO,"SPLICE/CHANDRA KU,SIF,HEIMDALL [ASGARDIAN],VIZIER,HOGUN [ASGARDIAN],SEA WITCH/BRIGIT O'H,IKARIS/IKE HARRIS [E,MERCURY,DAYDREAMER/CATHERINE,KARKAS [DEVIANT],ARISHEM [CELESTIAL],KATOS,SERSI/SYLVIA,ZURAS,HIGHNOTE/RAOUL HERNA,ODIN [ASGARDIAN],MINDSINGER/GREGOR,FORGOTTEN ONE/GILGAM,HERCULES [GREEK GOD],VALKIN,HILDEGARDE [ASGARDIA,ZEUS,GAMMENON [CELESTIAL],THENA,BRIGHTSWORD/CARTER D,MOONSTALKER/KIANA,DAMIAN, DR. DANIEL,SPIDER-MAN/PETER PAR,NAUDA,CADUCEUS,THOR/DR. DONALD BLAK,GRANT, SILAS,TANA NILE,STACY, GWEN (CLONE),WATSON-PARKER, MARY ,DAMIAN, MARGO,BALDER [ASGARDIAN],GENII/JASON KIMBALL,EGO-PRIME,VARUA/MIRA,HIGH EVOLUTIONARY/HE,VOLSTAGG,ESON [CELESTIAL],SPRITE,KARNILLA [ASGARDIAN],CALCULUS/JAHAHAREL P,FANDRAL [ASGARDIAN],JUNIPER,ARES [GREEK GOD]"
HATCHET-9,"X-MAN/NATHAN GREY ,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE"
HAUPTMAN,"BLACK WIDOW/NATASHA ,BRIDGE, GEORGE WASHI,TUATARA/COMMANDER AR,HOGAN, HAROLD J. HAP,DABUTA, NIGEL"
HAUPTMANN ENGLAND,"FERRO2,SHADOWCAT/KATHERINE ,CALLISTO,PHOENIX III/RACHEL S,KYLUN/COLIN MCKAY,RINGTOSS,CAPTAIN U.K./LINDA M,THUG,WIDGET,MEGGAN,PSYLOCKE/ELISABETH B,SCATTERBRAIN,NIGHTCRAWLER/KURT WA,SAT-YR-9,JOYBOY,LOCKHEED,BODYBAG,CAPTAIN BRITAIN/BRIA,THOMAS, COMMANDER DA,CHINA DOLL,STUART, BRIG. ALYSAN,WAXWORK,MICROMAX/SCOTT WRIGH,STUART, DR. ALISTAIR"
"HAWLEY, PAMELA","RALSTON, SENATOR ROB,DUGAN, TIMOTHY ALOYI,MANELLI, DINO"
HAYWIRE/,"POWER PRINCESS/ZARDA,DR. SPECTRUM/JOSEPH ,MASTER MENACE/DR. EM,CHAMPION, IMUS,SHANGA,MAKKARI/MIKE KHARY/I,CAPTAIN HAWK,INERTIA/,JARVIS, EDWIN ,BEAUTY,SHAPE,NIGHTHAWK/KYLE RICHM,IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,RIVERA, DR. JASON,REDSTONE/,ULTRON,DR. DECIBEL/ANTON DE,DRAGONFLY/VERONICA D,MOONDRAGON/HEATHER D,JAKAR,SWORDSMAN III/PHILIP,MAGDALENE/MARISSA DA,FREEMAN, DUANE JEROM,BLUE SHIELD/JOSEPH J,TANAKA, KENJIRO,TRUTH,STRANGER,CAPTAIN AMERICA,GOLDEN ARCHER II/WYA,QUAGMIRE,MOONGLOW/,VISION ,ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK,TOM THUMB/THOMAS THO,HYPERION,4-D MAN/MERCURIO,EGO-PRIME,WHIZZER II/STANLEY S,APE-X/XINA,ARCANNA/ARCANNA JONE,CHARM,LADY LARK/LINDA LEWI,WONDER MAN/SIMON WIL,RED GUARDIAN III/DR.,HAWK,BINARY/CAROL DANVERS,OVERMIND/GROM,BI-BEAST II,BALLANTINE, KAYLA,QUASAR III/WENDELL V"
HEADMISTRESS/,"LARGO, CHIEF,HOTSHOT/LOUIS,HEADGEAR/,DUGAN, TIMOTHY ALOYI,THOR/DR. DONALD BLAK,OGRESS/,LEADER/SAM STERNS,TALBOT, MAJ. MATT,CLINTON, BILL,JAILBAIT/JESS,OMNIBUS/LT. DALLAS,RIVERS, JERRY,DEAD HEAD/,HULK/DR. ROBERT BRUC,BANNER, BETTY ROSS T,THUNDERHEAD/"
HECATE,"BURKE, THERESA TRACY,BINARY/CAROL DANVERS"
HELA [ASGARDIAN],"HEIMDALL [ASGARDIAN],VIZIER,BRIGHTWIND,HODER [ASGARDIAN],WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,QUEEN KNORDA/NORA QU,TOOTHGNASHER,SCARLET WITCH/WANDA ,BETA RAY BILL,ABSORBING MAN/CARL C,QUICKSILVER/PIETRO M,DORMAMMU,NORTHSTAR/JEAN-PAUL ,SURTUR,MEDUSA/MEDUSALITH AM,APOCALYPSE/EN SABAH ,MANGOG,INVISIBLE WOMAN/SUE ,BALDER [ASGARDIAN],NORRISS, SISTER BARB,IDUNA,HUMAN TORCH ANDROID/,SILENT ONE,PYLLAR,NIGHTCRAWLER/KURT WA,LONGSHOT,ROGUE /,WONDER MAN/SIMON WIL,LORELEI II/MELODI [A,SIF,ENCHANTRESS/AMORA/HE,HOGUN [ASGARDIAN],LOKI [ASGARDIAN],PYRO/ALLERDYCE JOHNN,ARAGORN,CYCLOPS/SCOTT SUMMER,KINCAID, JIMMY,LOGA II,HILDEGARDE [ASGARDIA,WOLFSBANE/RAHNE SINC,STONEWALL/LOUIS HAMI,VOLLA,CANNONBALL II/SAM GU,SUNSPOT/ROBERTO DACO,NEFFETHESK,MEPHISTO,MALEKITH/MALCOLM KEI,ULIK,GAR-TOOM,STORM/ORORO MUNROE S,HRIMHARI,ZANIAC II/THUG THATC,WOLFE, HEDY,BEDLAM/JESSE AARONSO,THOR/DR. DONALD BLAK,BRADLEY, HANK,MAGIK/ILLYANA RASPUT,PERRIKUS,HOBBS, HARRIS,COLOSSUS II/PETER RA,VOLSTAGG,HELLCAT/PATSY WALKER,BOOMER/TABITHA SMITH,LOCKHEED,SUPER SABRE/MARTIN F,HAWK,FANDRAL [ASGARDIAN],LUMPKIN, WILLIAM WIL,TIGRA/GREER NELSON,SHADOWCAT/KATHERINE ,TYR,PUDDLEGULP,PLUTO [OLYMPIAN],LIVING TRIBUNAL,COLLINS, DEMITRIUS,JARVIS, EDWIN ,MIRAGE II/DANIELLE M,EXECUTIONER II/SKURG,MAGMA/AMARA AQUILLA/,THOR II/ROGER RED NO,HERCULES [GREEK GOD],MIST,SCRATCH, NICHOLAS,DESTROYER III,GARM,CRIMSON COMMANDO/FRA,THUNDERBIRD II/JAMES,FURY, COL. NICHOLAS ,VISION ,EITRI,AVALANCHE/DOMINIC PE,SKIDS/SALLY BLEVINS,TIWAZ,ANAK,DESTINY II/IRENE ADL,KINCAID, DR. JANE FO,LUMINOR,HILDY [ASGARDIAN],BLACKHEART,HUMAN TORCH/JOHNNY S,KURSE/ALGRIM [ASGARD,KARNILLA [ASGARDIAN],KANDRA,LANE, LOIS,LUNA/LUNA MAXIMOFF [,BLAKE, DR. DONALD (C,KARMA/XI'AN COY MANH,SATANNISH,BUCKY/BUCKY BARNES,BLOB/FRED J. DUKES,BEREET,ODIN [ASGARDIAN],HORUS [EGYPTIAN GOD],FRIGGA,IRON MAN/TONY STARK ,HESCAMAR/MARNOT [ASG,RICTOR/JULIO ESTEBAN,MOONDRAGON/HEATHER D,MARRERO, ED,RASPUTINA, ILLYANA I,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,WARLOCK III,VULTURE/ADRIAN TOOME,CAPTAIN AMERICA,WONG,NIGHTHAWK II/KYLE RI,GRANT, SILAS,MYSTIQUE/RAVEN DARKH,BLITZIANA,SUB-MARINER/NAMOR MA,DR. STRANGE/STEPHEN ,MOCKINGBIRD/DR. BARB,SCREAMING MIMI/MELIS,PSYLOCKE/ELISABETH B,CASE, COL. PRESTON,HIGH EVOLUTIONARY/HE,ERISHKIGEL,TOOTHGRINDER,DRAX/ARTHUR DOUGLAS,INFINITY,KENT, CLARK,PILEDRIVER II/BRIAN ,SUMMERS, MADELYNE MA,SAPRISTI, JERRY,HAROKIN [ASGARDIAN],FIREFIST/RUSTY COLLI"
"HELLER, ERIC","WILSON, DUBOSE,CROSS-WALLACE, SIR G,SHANNA/SHANNA O'HARA,AKULIA,MCHELE, JEREMY"
HELLFIRE/MIKAL DRAGO,"DRAGONMEGAS, JESSIE,PRIMO, ALEXIS,TERROR II,SATAN/MARDU KURIOS"
HELLRAZOR,"EL JAGUAR,CENTURY, TURNER D.,LETHA,KRAKEN,ANACONDA/BLANCHE SIT,GRAPPLER,SHELLSHOCK/,SCOURGE,MINDWAVE,CHEETAH,FOOLKILLER II/GREG S"
