hero,connection
"RACAL, CONSTANTIN","WENTWORTH, JENNIFER,THUNDERBIRD II/JAMES,FURY, COL. NICHOLAS ,BOOMER/TABITHA SMITH,CANNONBALL II/SAM GU,BEDLAM/JESSE AARONSO,DOMINO III/BEATRICE/"
RAHL,"MORBIUS/DR. MICHAEL ,CHANG, IMEI,RINTRAH,DR. STRANGE/STEPHEN ,CLEA,BARON MORDO/KARL MOR,BROTHER VOODOO/DANIE"
"RAMIREZ, LUIS","KORVAC, MICHAEL,CAPTAIN AMERICA,RAMIREZ, JAVIER,FERRARI, CONNIE,CARTER, SHARON,RAMIREZ, ALMA,COBRA/KLAUS VORHEES,RANIER, MIKE,MISTER HYDE/CALVIN Z,GENUARDI, MR."
RAMON,"MIMIC/CALVIN RANKIN,EL TIGRE,CYCLOPS/SCOTT SUMMER,BEAST/HENRY &HANK& P,TOLOC,PROFESSOR X/CHARLES ,ICEMAN/ROBERT BOBBY ,KUKULCAN/VIRAKO/QUET,ANGEL/WARREN KENNETH"
RAMSHOT/,"SENTRY III,BOMBLAST/,SCARUM/,INGOT/,HAWK,GLOUCESTER,SCREAMING MIMI/MELIS"
RANGER II,"WARHAWK III/TOM NAKA,WOLVERINE/LOGAN ,PSYLOCKE/ELISABETH B"
"RASPUTIN, MIKHAIL","DEATHBIRD [SHI'AR],MAGNETO/MAGNUS/ERIC ,SHADOWCAT/KATHERINE ,BISHOP /,CYCLOPS/SCOTT SUMMER,AVATAR,WOLVERINE/LOGAN ,MIRAGE II/DANIELLE M,SUNFIRE/SHIRO YOSHID,MAGMA/AMARA AQUILLA/,MACTAGGERT, MOIRA KI,WOLVERINE SKRULL,WOLFSBANE/RAHNE SINC,MARROW/SARAH ,LIVING MONOLITH/AHME,CANNONBALL II/SAM GU,X-MAN/NATHAN GREY ,MR. SINISTER/NATHAN ,SUNSPOT/ROBERTO DACO,MR. FANTASTIC/REED R,KRAMER, KENNY,WARLOCK III,STORM/ORORO MUNROE S,SUMMERS, NATHAN CHRI,FURY, COL. NICHOLAS ,TANAKA, OPAL,GAMBIT/REMY LEBEAU ,CALLISTO,ANT-MAN/DR. HENRY J.,CYPHER/DOUG RAMSEY,MYSTIQUE/RAVEN DARKH,APOCALYPSE/EN SABAH ,MAGIK/ILLYANA RASPUT,ICEMAN/ROBERT BOBBY ,BANSHEE/SEAN CASSIDY,FORGE,ANGEL/WARREN KENNETH,KRAMER, STACEY,HIRO,PSYLOCKE/ELISABETH B,COLOSSUS II/PETER RA,NIGHTCRAWLER/KURT WA,FIZ [SKRULL],POLARIS/LORNA DANE,CALIBAN/,ROGUE /,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,PROFESSOR X/CHARLES ,MARVEL GIRL/JEAN GRE,AHAB/RORY CAMPBELL,BRAIN CELL/,DRAKE, WILLIAM ROBER,KARMA/XI'AN COY MANH"
"RASPUTINA, ALEXANDRA","BARAK,CRAIG, REV.,MAGIK/ILLYANA RASPUT,ICEMAN/ROBERT BOBBY ,HAVOK/ALEX SUMMERS ,MEGGAN,A'YIN,MACTAGGERT, MOIRA KI,COLOSSUS II/PETER RA,WOLFSBANE/RAHNE SINC,NIGHTCRAWLER/KURT WA,THUNDERBIRD/JOHN PRO,CAPTAIN BRITAIN/BRIA,RASPUTIN, NIKOLAI,PROFESSOR X/CHARLES"
"RASPUTINA, ILLYANA I","BRIGHTWIND,SABRETOOTH/VICTOR CR,MAGNETO/MAGNUS/ERIC ,SHADOWCAT/KATHERINE ,SKIDS/SALLY BLEVINS,SUB-MARINER/NAMOR MA,ICEMAN/ROBERT BOBBY ,GOSAMYR,MIRAGE II/DANIELLE M,WIZ KID/TAKESHI MATS,BLACK KING/SEBASTIAN,WOLFSBANE/RAHNE SINC,BOOMER/TABITHA SMITH,CANNONBALL II/SAM GU,SUNSPOT/ROBERTO DACO,BEAST/HENRY &HANK& P,SELENE,WARLOCK III"
RATTACK,"MINT JULEP,ABRAXAS,M'SHULLA,HAWK"
RAVENWOOD,"PENANCE/MONET ST. CR,CHAMBER/JONOTHON STA,SYNCH/EVERETT THOMAS,FROST, ADRIENNE,HUSK/PAIGE GUTHRIE,BANSHEE/SEAN CASSIDY,JUBILEE/JUBILATION L"
RAWHIDE KID,"IRON MAN/TONY STARK ,HELLCAT/PATSY WALKER,TWO-GUN KID,NIGHT RIDER,THOR/DR. DONALD BLAK,JONES, HUGH,WIZARD OF THE WEST,KID COLT,STARK, ISAAC"
"RAYMOND, NORA JONES","DYNA-MITE/ROGER AUBR,HORTON, PROFESSOR PH,RAYMOND, FRED,ASBESTOS LADY"
RAZOR/,"BERNSTEIN, DR. NOAH"
RAZORFIST II,"CAT III/SHEN KUEI,RESTON, CLIVE,RAZORFIST III,SUEE, FAH LO,SHANG-CHI,SMITH, SIR DENIS NAY,TARR, BLACK JACK"
REANIMATOR/,"WOLVERINE SKRULL,MARROW/SARAH ,NIGHTCRAWLER/KURT WA,SOLO/,BERNIE,CARDIAC/DR. ELI WIRT,PROFESSOR X/CHARLES ,BOLT II/CHRIS BRADLE,NOVA/RICHARD RIDER"
REAPER II,"HAIRBAG/SUGGS,ZERO,COPYCAT/VANESSA,CYCLOPS/SCOTT SUMMER,SUMO,WILDSIDE,WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS ,MIRAGE II/DANIELLE M,COOPER, DR. VALERIE,FERAL/MARIA CALLASAN,MACTAGGERT, MOIRA KI,STRONG GUY/GUIDO CAR,WOLFSBANE/RAHNE SINC,KAMIKAZE,QUICKSILVER/PIETRO M,DRAGONESS,CANNONBALL II/SAM GU,SUNSPOT/ROBERTO DACO,STROBE/,WARLOCK III,STORM/ORORO MUNROE S,SHATTERSTAR II/GAVEE,SUMMERS, NATHAN CHRI,HRIMHARI,EITRI,SKIDS/SALLY BLEVINS,MYSTIQUE/RAVEN DARKH,APOCALYPSE/EN SABAH ,WANG, VICTORIA VICKY,ICEMAN/ROBERT BOBBY ,CLARKE, GENERAL JERE,ANGEL/WARREN KENNETH,GENESIS/TYLER DAYSPR,PRODIGAL/,PSYLOCKE/ELISABETH B,TEMPO,COLOSSUS II/PETER RA,BOOMER/TABITHA SMITH,BRIDGE, GEORGE WASHI,ROGUE /,MULTIPLE MAN/JAMES A,FOREARM,POLARIS/LORNA DANE,HARDRIVE,KARNILLA [ASGARDIAN],GRIZZLY II/THEODORE ,PROFESSOR X/CHARLES ,THUMBELLINA,TUSK,HAMMER III/EISENHOWE,STRYFE,WEAPON X II/GARRISON,FIREFIST/RUSTY COLLI,FANDRAL [ASGARDIAN]"
RECKLESS ERIC/,"HARDWIRE/,MINI MAX/,MEGA MAX/,DEADPOOL/JACK/WADE W,WOLVERINE/LOGAN ,PIGSKIN/,CARGO,VANCE REBUS/,CROWE, GERONIMO"
RED RAVEN II,"ANT-MAN II/SCOTT HAR,LYJA LAZERFIST [SKRU,MAGNETO/MAGNUS/ERIC ,RED RAVEN,SUB-MARINER/NAMOR MA,OMEGA II,INVISIBLE WOMAN/SUE ,THING/BENJAMIN J. GR,ROBESON, PROFESSOR K,EXECUTIONER II/SKURG,KRISTOFF/KRISTOFF VE,BLACK KNIGHT IV/PROF,ZARRKO, ARTHUR,SCARLET WITCH/WANDA ,BLIZZARD/PROF. GREGO,SNOWBIRD/NARYA/ANNE ,GREEN GOBLIN/NORMAN ,LANG, CASSANDRA CASS,DR. DOOM/VICTOR VON ,MELTER/BRUNO HORGAN,NEWELL, DIANE ARLISS,MARVEL GIRL/JEAN GRE,RICHARDS, NATHANIEL,STINGRAY/DR. WALTER"
RED WOLF III/WILL TA,"IGOR,SPIDER-WOMAN/JESSICA,TIGRA/GREER NELSON,NIGHT RIDER III/HAMI,SHADOWCAT/KATHERINE ,WHIZZER/ROBERT L. FR,IKARIS/IKE HARRIS [E,AURORA/JEANNE-MARIE ,THING/BENJAMIN J. GR,SERSI/SYLVIA,HAVOK/ALEX SUMMERS ,JONES, RICHARD MILHO,HERCULES [GREEK GOD],SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,TORPEDO III/BROCK JO,DEVIL-SLAYER/ERIC SI,KARNAK [INHUMAN],URSA MAJOR/MIKHAIL U,ANT-MAN II/SCOTT HAR,NORTHSTAR/JEAN-PAUL ,SPIDER-MAN/PETER PAR,DR. DRUID/ANTHONY LU,TAURUS/CORNELIUS VAN,VISION ,ANT-MAN/DR. HENRY J.,COLLECTIVE MAN,SASQUATCH/WALTER LAN,INVISIBLE WOMAN/SUE ,BANSHEE II,MASTER PANDEMONIUM/M,SPARROW BEAR, MELLIS,CALUMET,ANGEL/WARREN KENNETH,NORRISS, SISTER BARB,CONSTRICTOR/FRANK PA,BLITZKRIEG/,NIGHTCRAWLER/KURT WA,3-D MAN/CHARLES CHAN,LOBO,WONDER MAN/SIMON WIL,PROFESSOR X/CHARLES ,STINGRAY/DR. WALTER ,BLACK WIDOW/NATASHA ,DRUMM, JERICHO,JOCASTA,HELLSTORM/DAIMON HEL,CRYSTAL [INHUMAN],CORRUPTOR/JACKSON DA,CYCLOPS/SCOTT SUMMER,REDWING,IRON MAN/TONY STARK ,MOONDRAGON/HEATHER D,BLACK CROW/JESSE BLA,SHROUD/MAXIMILLIAN Q,SHOOTING STAR,GYPSY MOTH,HULK/DR. ROBERT BRUC,GUARDIAN/JAMES MACDO,STORM/ORORO MUNROE S,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,MIKHLO,DEFENSOR,DARKSTAR/LAYNIA SERG,THOR/DR. DONALD BLAK,SUB-MARINER/NAMOR MA,DR. STRANGE/STEPHEN ,RED WOLF/WILDRUN,JACK OF HEARTS/JACK ,MOCKINGBIRD/DR. BARB,TEXAS TWISTER/DREW D,CAGE, LUKE/CARL LUCA,SABRA/RUTH BAT-SERAP,HELLCAT/PATSY WALKER,CRIMSON DYNAMO V/DIM,DAREDEVIL/MATT MURDO,GRANDMASTER/EN DWI G,LOCKJAW [INHUMAN],HAWK,FIREBIRD/BONITA JUAR,BANNER, BETTY ROSS T,SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V"
REFLEX/,"YETI,NOCTURNE/,DARE, ROSSALYN,NIGHTINGALE/,MR. JUSTICE/TIMOTHY ,TEMPLAR/IAN FITZWILL,FLATIRON/RUSSELL,PIXIE/ [ETERNAL],VULCAN/,LOCKE, DR. CASSANDRA,CAPTAIN HIP/FRED MAC,HUMAN TORCH/JOHNNY S,EFFIGY/LT. VELMAX/JA,MR. FANTASTIC/REED R,OMEGA-20/EUGENE,KATYUSHA/"
"RENKO, DR. IRENO","IRON MAN IV/JAMES R.,SCARLET WITCH/WANDA ,USAGENT/CAPTAIN JOHN,EMBER,SUPREME COMMANDER,CENTURY,SPIDER-WOMAN II/JULI,BLACK BRIGADE,RECORDER II"
REQUIEM/,"LAMENT/,DESOLATION/"
"RICHARDS, NATHANIEL","KA-ZAR/KEVIN PLUNDER,GORGON [INHUMAN],AHURA,ARON [WATCHER],THINKER,THING/BENJAMIN J. GR,WOLVERINE/LOGAN ,NEBULO,SAPPHIRAS,STALKING FOX,EELAK,MAXIMUS [INHUMAN],KARNAK [INHUMAN],ANT-MAN II/SCOTT HAR,LYJA LAZERFIST [SKRU,UATU,VASHTI,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,VISION ,ANT-MAN/DR. HENRY J.,WINGFOOT, WYATT,INVISIBLE WOMAN/SUE ,BURRTHROP, T. BARTON,RICHARDS, FRANKLIN B,PULSSUS,PORCAL,LEONUS/LIONUS [INHUM,CYNAS,HUMAN TORCH/JOHNNY S,MASTERS, ALICIA REIS,SHANNA/SHANNA O'HARA,DR. DOOM/VICTOR VON ,HYPERSTORM,SILVER SURFER/NORRIN,LLYRON,ATOR, GENERAL,CRYSTAL [INHUMAN],SPIDER-MAN CLONE/BEN,STALLIOR,VIBRAXAS/N'KANO,WASP/JANET VAN DYNE ,O'NEIL, BRIDGET,POWER MAN/ERIK JOSTE,LANG, CASSANDRA CASS,STONE, MEG,MARGOYLE,MR. FANTASTIC/REED R,GLABOO,BLOOD WRAITH/SEAN DO,GALACTUS/GALAN,WONG,THOR/DR. DONALD BLAK,ROOTAR,SUB-MARINER/NAMOR MA,HUNTARA/MARY ELIZABE,DR. STRANGE/STEPHEN ,DARK BEAST/HENRY MCC,TRITON,KRISTOFF/KRISTOFF VE,ZARRKO, ARTHUR,RAPTOR II/PROFESSOR ,LE FEY, MORGAN,FURGAR,DAREDEVIL/MATT MURDO,ZABU,BRIDGE, GEORGE WASHI,PSI-LORD/FRANKLIN BE,DEVLOR,TARGON,W'KANDRO,LOCKJAW [INHUMAN],ARCADIUS,SHE-HULK/JENNIFER WA"
RICTOR/JULIO ESTEBAN,"BRIGHTWIND,BLACK KNIGHT V/DANE ,SUMO,WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS ,FAMINE/AUTUMN ROLFSO,QUICKSILVER/PIETRO M,S'YM,MAINFRAME II,BLAQUESMITH,GIDEON,WHITE QUEEN/EMMA FRO,STONE, LT. MARCUS,APOCALYPSE/EN SABAH ,ROUSSEAU, ETIENNE,GOSAMYR,BALDER [ASGARDIAN],RASSITANO, MAD DOG,WIPEOUT,NIGHTCRAWLER/KURT WA,LEGION II/DAVID HALL,POLARIS/LORNA DANE,DAYTRIPPER/AMANDA SE,ROGUE /,LEECH,HARDRIVE,GRIZZLY II/THEODORE ,MOJO,ARIEL II,MAGNETO/MAGNUS/ERIC ,DA COSTA, EMMANUEL,PYRO/ALLERDYCE JOHNN,DEADPOOL/JACK/WADE W,SHINAR,CYCLOPS/SCOTT SUMMER,WILDSIDE,COOPER, DR. VALERIE,MEGGAN,BLACK KING/SEBASTIAN,WOLFSBANE/RAHNE SINC,STONEWALL/LOUIS HAMI,KAMIKAZE,FOXBAT,CHENEY, LILA,MADDICKS, ARTHUR ART,CANNONBALL II/SAM GU,SUNSPOT/ROBERTO DACO,STROBE/,STINGER III/,STORM/ORORO MUNROE S,CRULE,RUIZ, RIGGER,HRIMHARI,TANAKA, OPAL,PIPELINE/CORMICK GRI,GAMBIT/REMY LEBEAU ,COLE, PRISCILLA,NITRO/ROBERT L. HUNT,CYPHER/DOUG RAMSEY,THOR/DR. DONALD BLAK,SIRYN/THERESA ROURKE,DOMINO III/BEATRICE/,MAGIK/ILLYANA RASPUT,DARK BEAST/HENRY MCC,HIDALGO, DETECTIVE J,STANACHEK, FREDDIE,COLOSSUS II/PETER RA,VOLSTAGG,BOOMER/TABITHA SMITH,BRIDGE, GEORGE WASHI,FOREARM,CALIBAN/,REAPER II,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,INFECTIA/JOSEPHINE,SUPER SABRE/MARTIN F,MARVEL GIRL/JEAN GRE,FANDRAL [ASGARDIAN],TILBY, TRISH/PATRICI,STRYFE,SHE-HULK/JENNIFER WA,SHADOWCAT/KATHERINE ,COPYCAT/VANESSA,HITCHUCK, KELLY,BISHOP /,SPIRAL,MIRAGE II/DANIELLE M,WIZ KID/TAKESHI MATS,COY, GENERAL NGUYEN ,EXECUTIONER II/SKURG,SUNFIRE/SHIRO YOSHID,STRONG GUY/GUIDO CAR,TINKERER,PUNISHER II/FRANK CA,CROTUS,HUNTER, STEVIE,ARCADE/,CRIMSON COMMANDO/FRA,SHATTERSTAR II/GAVEE,THUNDERBIRD II/JAMES,SUMMERS, NATHAN CHRI,NIMROD III,EITRI,AVALANCHE/DOMINIC PE,SKIDS/SALLY BLEVINS,FORGE,TIWAZ,DESTINY II/IRENE ADL,ANGEL/WARREN KENNETH,SNAKESKIN II/,THORNN II/LUCIA CALL,HILDY [ASGARDIAN],JOSHUA, DR. SEGISMUN,SAUL,TOLLIVER,LOCUS,KARNILLA [ASGARDIAN],PLAGUE,PROFESSOR X/CHARLES ,TUSK,HAWKSHAW,WEAPON X II/GARRISON,ZERO,BLOB/FRED J. DUKES,MOREAU, DAVID,FERAL/MARIA CALLASAN,MACTAGGERT, MOIRA KI,CREED, GRAYDON,N'ASTIRH,DRAGONESS,MR. SINISTER/NATHAN ,GAUNTLET,RASPUTINA, ILLYANA I,MR. FANTASTIC/REED R,WARLOCK III,WAR/ABRAHAM LINCOLN ,CHANDRA, DR.,VULTURE/ADRIAN TOOME,PICO,NEUROTAP/MICHELLE BA,SHIP,WONG,MYSTIQUE/RAVEN DARKH,SUB-MARINER/NAMOR MA,GRYPHON/COMMANDER EK,ICEMAN/ROBERT BOBBY ,BANSHEE/SEAN CASSIDY,DR. STRANGE/STEPHEN ,VANISHER,WISDOM, PETER,PSYLOCKE/ELISABETH B,PATCH II,PROSH,MULTIPLE MAN/JAMES A,GUTHRIE, JOSH,HELA [ASGARDIAN],THUMBELLINA,SUMMERS, MADELYNE MA,LANG, DR. STEVEN,PSYNAPSE,SELENE,HODGE, CAMERON,FIREFIST/RUSTY COLLI,AHAB/RORY CAMPBELL"
"RIDER, CHARLES","CORONARY/JIMMY SHARP,BURLEY, MIKE,JUSTICE II/VANCE AST,FIRESTAR/ANGELICA JO,CONDOR,DEADHEAD,RIDER, ROBERT ROBBIE,NAMORITA/NITA PRENTI,SURESHOT,THING/BENJAMIN J. GR,CRIMEBUSTER/FRANK MO,NOVA/RICHARD RIDER,YELLOW CLAW/TZING JA,ASTROVIK, ARNOLD,RIDER, GLORIA,ROSEN, WALTER,ASYLUM/,MAXOV,SPEEDBALL/ROBBIE BAL,KARNAK [INHUMAN],FURY, COL. NICHOLAS ,THERA,PLANNER,MEDUSA/MEDUSALITH AM,NIGHT THRASHER/DUANE,SILHOUETTE,KRAA,TERRAX II/TYROS,BALDWIN, MADELYNE MA,PROTECTOR III/,JAYE-FIRESTONE, GING,DIAMONDHEAD/DYKER,COOPER, ROGER CAPS,DOVER, DONNA-LEE,OSBORN, LIZ ALLAN,BLOODSTRIKE/ERIC CON,MATHEMANIC/THOMAS SO,HUMAN TORCH/JOHNNY S,DILLON, BERNIE,LOCKJAW [INHUMAN],POWERHOUSE/RIEG DAVA,ASTROVIK, NORMA,OSBORN, HARRY,BALDWIN, JUSTIN"
"RIFKIN, BIFF","NELSON, FRANKLIN FOG,SPIDER-MAN/PETER PAR,WHITMAN, DEBRA,HOPKINS, STEVE,DAREDEVIL/MATT MURDO,JAMESON, J. JONAH,ROBERTSON, JOE,RAMROD II,MADAME WEB/CASSANDRA,HYDROMAN/MORRIE BENC,LUBENSKI, NATE"
RIGHT,"SPEEDBALL II/DARRION,DRY,TIMESLIP/RINA PATEL,CARDINAL/CLEMDENON,NOVA/RICHARD RIDER,ADMIRAL PROTOCOL/,SPROCKET,DARK"
"RILEY, JACK","HELLSTORM/DAIMON HEL,SHAITAN, AL,ROSETTI, GABRIEL,RILEY, MARIEL,RILEY, KIM,HELLSTORM DOPPELGANG,SIEGEL, DR. AVRAM"
RIP,BUCKY VII/RIKKI BARN
"ROBERTS, CHESS","AIRBORNE/,HANRAHAN, GORDON,JAMESON, J. JONAH,ANGEL/WARREN KENNETH,MIDAS,MADAME MENACE/SUNSET,SILVANI, VITTORIO,IRON MAN/TONY STARK ,NELSON, FRANKLIN FOG,SHEFFIELD, LEAH,HOGAN, VIRGINIA PEPP,SMOKESCREEN/,MADAME MASQUE/GIULIE,FIREFIGHT/,GREEN GOBLIN/NORMAN ,BOOBYTRAP/"
"ROBERTSON, AMANDA","RANDI,KATZENBERG, NICK,TOMBSTONE/LONNIE THO,FIREBRAND II/BROXTEL,LOBO, CARLOS,PUMA/THOMAS FIREHEAR,TINKERER,PUNISHER II/FRANK CA,WILL O' THE WISP/JAC,PESTER,LOBO, EDUARDO,THOMPSON, EUGENE FLA,SPIDER-MAN/PETER PAR,ROBERTSON, RANDY,ROBERTSON, JOE,PALERMO, VICTOR,BLACK CAT/FELICIA HA,HAMMERHEAD,TRAPSTER/PETER PETRU,CHEKOV, ARTHUR ANTON,ENT,ARRANGER/,DR. DOOM/VICTOR VON ,URICH, BEN,LEEDS, BETTY BRANT,WATSON, ANNA,MUGGINS, MAMIE,OSBORN, NORMIE,MAGNETO/MAGNUS/ERIC ,BAMBI,LOKI [ASGARDIAN],SANDMAN/WILLIAM BAKE,WATSON, KRISTY,SILVER SABLE,PARKER, MAY,FOREIGNER/RAFAEL BAS,GRANT, GLORIA GLORY,CUSHING, KATE,JOHNSON, ANNA,N'ASTIRH,SWANN, DR. EVAN,MERCADO, JOY,MR. FANTASTIC/REED R,LUBENSKI, NATE,JAMESON, J. JONAH,WONG,JAMESON, MARLA MADIS,CHAMELEON/DMITRI SME,DR. STRANGE/STEPHEN ,WATSON-PARKER, MARY ,BANNON, LANCE,RANSOME, DR. SUSAN,ROBERTSON, MARTHA,OSBORN, LIZ ALLAN,MACINTOSH, ANN,CARRION II/MALCOLM M,PROWLER/HOBIE BROWN,OSBORN, HARRY,KINGPIN/WILSON FISK"
